"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"1063270712805216256","","","2018-11-16 03:21:07 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @xxx_whitechapel: 「システムエラー:日本のサイバーセキュリティ担当大臣がPCを未だかつて使ったことがないことを認めた」

「もしハッカーがこの桜田大臣を狙ったとしてもいかなる情報も盗めないだろう。実際、ある意味最強のセキュリティかも知れない。」 http…","1063014165936168960","709403248780677120","2018-11-15 10:21:41 +0000","https://twitter.com/xxx_whitechapel/status/1063014165936168960/photo/1,https://twitter.com/xxx_whitechapel/status/1063014165936168960/photo/1"
"1063183099318566912","","","2018-11-15 21:32:58 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @maitetsu_ps: PS4本体とcuraサイン入り「まいてつ pure station 通常版」が「2名様」に当たる！ イエティ(@maitetsu_ps ) Lose(@news_lose) を両方フォローしてRT！ コミック版第１話もＶＲで試し読みできるように…","1062980324722765824","955634114115223552","2018-11-15 08:07:13 +0000","https://maitetsucs.com,https://twitter.com/maitetsu_ps/status/1062980324722765824/photo/1"
"1063182882879942656","","","2018-11-15 21:32:06 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @news_lose: PS4本体とcuraサイン入り「まいてつ pure station 通常版」が「2名様」に当たる！ イエティ(@maitetsu_ps ) Lose(@news_lose) を両方フォローしてRT！ コミック版第１話もＶＲで試し読みできるようになり…","1062987970611793920","826149872701104128","2018-11-15 08:37:36 +0000","https://maitetsucs.com,https://twitter.com/news_lose/status/1062987970611793920/photo/1"
"1062912566840647682","","","2018-11-15 03:37:58 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @1st_HACHIMAKI: こんにちは、まきくんです。
ECショップHACHIMAKIがリニューアルされます！今のサイトとポイントは11月30日までご利用いただけます。
また、皆さまにありがとうを込めて、なんでも1点以上購入で特製ポストカードをプレゼントしています！新…","1062911684761739265","1001378038561456129","2018-11-15 03:34:28 +0000","https://hachimaki-goodsshop.jp/,https://twitter.com/1st_HACHIMAKI/status/1062911684761739265/photo/1"
"1062912514550202368","","","2018-11-15 03:37:46 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Art_Relatable: Aluminum reacting with Mercury https://t.co/kIU5eROzf1","1062383563679588352","1029929361485516800","2018-11-13 16:35:54 +0000","https://twitter.com/Art_Relatable/status/1062383563679588352/video/1,https://twitter.com/Art_Relatable/status/1062383563679588352/video/1"
"1062911345631195141","","","2018-11-15 03:33:07 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @surumemanzyu: #私を布教して  アーマード・コアとニンジャが好きなまんじゅうです。体が闘争を求めすぎてACライクなゲーム「PROJECT SIX」を制作中です。 https://t.co/e9qiiEGkdG","1062338043988729856","327317932","2018-11-13 13:35:01 +0000","https://twitter.com/surumemanzyu/status/1062338043988729856/video/1,https://twitter.com/surumemanzyu/status/1062338043988729856/video/1"
"1062903664346427392","","","2018-11-15 03:02:36 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @yagainstfascism: Nスタ。パソコンが「得意ではない」らしいのに、サイバーセキュリティも担当する桜田大臣。USBもよく理解してないか……。
「使う場合はその穴に入れるらしいんですけど、細かいことはよくわかりません」という大臣相手に、どんな質疑をしろと…。こ…","1062624327277801472","2231710694","2018-11-14 08:32:36 +0000","https://twitter.com/yagainstfascism/status/1062624327277801472/photo/1,https://twitter.com/yagainstfascism/status/1062624327277801472/photo/1"
"1062851552837197824","","","2018-11-14 23:35:31 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @news_lose: PS4本体とcuraサイン入り「まいてつ pure station 通常版」が「2名様」に当たる！ イエティ(@maitetsu_ps ) Lose(@news_lose) を両方フォローしてRT！ コミック版第１話もＶＲで試し読みできるようになり…","1062650188450344960","826149872701104128","2018-11-14 10:15:22 +0000","https://maitetsucs.com,https://twitter.com/news_lose/status/1062650188450344960/photo/1"
"1062850867726966786","","","2018-11-14 23:32:48 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @vr_sparc: 年末にバーチャル空間最大のイベント ""Count0"" を開催することが決定致しました😻🎉🎉🎉
キズナアイちゃんをはじめとした、upd8のVTuberが参加🦄🦄
なんと、ユニティちゃんも登場するスペシャルなライブです😉✌️
みんなで年越しをお祝いしなが…","1062281836620070912","1052870420855025664","2018-11-13 09:51:40 +0000","https://twitter.com/vr_sparc/status/1062281836620070912/photo/1"
"1062720703776976896","","","2018-11-14 14:55:34 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @FeelzenVr: なんだろうこれ…？ #VRChat #バーチャルジョイマン https://t.co/dX4X8WPKxL","1062345022811455488","944160514883567616","2018-11-13 14:02:45 +0000","https://twitter.com/FeelzenVr/status/1062345022811455488/video/1,https://twitter.com/FeelzenVr/status/1062345022811455488/video/1"
